,name,location,price,rating,quality,review,bed,size,distance from centure,room_type,nights,adults,free_canelation
151,TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
152,Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
153,Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
154,Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
155,UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
156,Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
158,Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
160,room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
162,Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
163,Hostal America,"Centro, Madrid","IRR 3,604,325",7.7,Good,"2,264 reviews",Multiple bed types,,0.6,Single Room,1 night, 1 adult,
164,Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
165,LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
167,Hostels Meetingpoint,"Centro, Madrid","IRR 1,201,442",7.0,Good,"2,139 reviews",1 bunk bed,,0.8,Bed in 6-Bed Mixed Dormitory Room,1 night, 1 adult,
168,Hostal Flat55Madrid,"Centro, Madrid","IRR 2,933,921",8.2,Very good,252 reviews,1 double bed,,1.1,Small Double Room with Shared Bathroom,1 night, 1 adult,
169,"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
170,Hostal PETITE MAMAN,"Centro, Madrid","IRR 3,880,657",7.7,Good,"2,291 reviews",Multiple bed types,,300,Superior Triple Room,1 night, 1 adult,
172,Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
174,Luz Madrid Rooms,"Centro, Madrid","IRR 7,809,371",8.2,Very good,"1,124 reviews",Beds: 1 double or 2 singles,,450,Superior Double or Twin Room,1 night, 1 adult,
175,AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
176,TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
177,Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
178,Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
179,Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
180,Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
181,Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
182,"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
183,Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
184,Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
185,room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
187,Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
188,UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
191,Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
192,room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
193,LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
195,Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
198,Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8.0,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
200,AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
201,TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
202,Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
203,Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
204,Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
205,Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
206,"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
207,Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
208,Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
209,room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
210,Senator Barajas,"Barajas, Madrid","IRR 7,328,795",7.7,Good,"10,739 reviews",Multiple bed types,,11.3,Double Room (1 Adult),1 night, 1 adult,
211,Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
212,UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
213,NH Madrid Ribera del Manzanares,"Arganzuela, Madrid","IRR 7,689,628",8.5,Very good,"4,014 reviews",Multiple bed types,,1.9,Standard Double or Twin Room,1 night, 1 adult,
214,Cava Baja Suites 1,"Centro, Madrid","IRR 6,571,085",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 1 adult,
215,Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
216,room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
217,LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
218,Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 7,248,698",8.3,Very good,"3,675 reviews",1 single bed,,1.6,Small Double Room,1 night, 1 adult,
219,Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
220,Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 1 adult,
221,"voco Madrid Retiro, an IHG Hotel","Retiro, Madrid","IRR 10,372,447",8.7,Fabulous,"1,037 reviews",1 large double bed,,3,Standard Queen Room,1 night, 1 adult,
222,Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8.0,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
223,Cava Baja Suites 2,"Centro, Madrid","IRR 7,589,908",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 1 adult,
225,AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
226,TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
227,Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
228,Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
229,Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
230,Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
231,Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
232,Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
233,Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
234,room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
235,Senator Barajas,"Barajas, Madrid","IRR 7,328,795",7.7,Good,"10,739 reviews",Multiple bed types,,11.3,Double Room (1 Adult),1 night, 1 adult,
236,Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
237,UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
238,NH Madrid Ribera del Manzanares,"Arganzuela, Madrid","IRR 7,689,628",8.5,Very good,"4,014 reviews",Multiple bed types,,1.9,Standard Double or Twin Room,1 night, 1 adult,
239,Cava Baja Suites 1,"Centro, Madrid","IRR 6,571,085",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 1 adult,
240,Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
241,room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
242,LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
243,Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 7,248,698",8.3,Very good,"3,675 reviews",1 single bed,,1.6,Small Double Room,1 night, 1 adult,
244,Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
245,Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 1 adult,
246,"voco Madrid Retiro, an IHG Hotel","Retiro, Madrid","IRR 10,372,447",8.7,Fabulous,"1,037 reviews",1 large double bed,,3,Standard Queen Room,1 night, 1 adult,
247,Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8.0,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
248,Cava Baja Suites 2,"Centro, Madrid","IRR 7,589,908",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 1 adult,
249,Hotel Mirador de Chamartín,"Ciudad Lineal, Madrid","IRR 8,229,876",8.4,Very good,"3,079 reviews",1 double bed,,7.8,Premium Double Room,1 night, 1 adult,
276,Hotel Amelie Berlin,"Mitte, Berlin","IRR 3,924,710",6.3,Review score,"1,492 reviews",1 single bed,,0.9,Single Room,1 night, 1 adult,
277,Hotel Bleibtreu Berlin by Golden Tulip,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,029,636",7.8,Good,"1,115 reviews",1 double bed,,4.3,Standard Queen Room,1 night, 1 adult,
278,Motel One Berlin-Tiergarten,"Tempelhof-Schöneberg, Berlin","IRR 4,162,996",8.2,Very good,"4,799 reviews",1 large double bed,,2.5,Room with King Size bed,1 night, 1 adult,
280,Motel One Berlin-Alexanderplatz,"Mitte, Berlin","IRR 5,004,005",8.6,Fabulous,"12,885 reviews",1 large double bed,,2.4,Queen Room,1 night, 1 adult,
282,Grimm's Potsdamer Platz,"Mitte, Berlin","IRR 4,365,238",8.8,Fabulous,"8,375 reviews",1 single bed,,1.5,Single Room,1 night, 1 adult,Free cancellation
283,Generator Berlin Alexanderplatz,"Mitte, Berlin","IRR 889,067",7.4,Good,"4,965 reviews",1 bunk bed,,2.9,Bed in 8-Bed Dormitory Room,1 night, 1 adult,
