name,location,price,rating,quality,review,bed,size,distance_from_center,room_type,nights,adults,free_cancellation
Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 1 adult,
Hôtel Eiffel Turenne,"7th arr., Paris","IRR 7,368,843",8.6,Fabulous,"1,499 reviews",1 single bed,,3.2,Comfort Single Room with Shower,1 night, 1 adult,
Hôtel Tingis,"17th arr., Paris","IRR 3,604,325",6.9,Review score,"2,471 reviews",1 single bed,,4.7,Small Single Room,1 night, 1 adult,
Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
Grand Hôtel Magenta,"10th arr., Paris","IRR 3,964,758",6.9,Review score,"2,867 reviews",1 double bed,,2.7,Double Room,1 night, 1 adult,
Courcelles Etoile,"17th arr., Paris","IRR 4,845,815",8.2,Very good,"1,714 reviews",1 double bed,,5,Chambre Deluxe,1 night, 1 adult,
Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
Chatillon Paris Montparnasse,"14th arr., Paris","IRR 5,086,103",8.1,Very good,"1,548 reviews",1 large double bed,,4,Classic Double Room,1 night, 1 adult,
WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
Hotel Novex Paris,"13th arr., Paris","IRR 7,191,430",4.9,Review score,"1,206 reviews",1 single bed,,3.8,Single Room,1 night, 1 adult,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Relais du Pré,"9th arr., Paris","IRR 6,087,305",8.1,Very good,"1,371 reviews",1 double bed,,2.4,Double Room,1 night, 1 adult,
Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 1 adult,
Hôtel Eiffel Turenne,"7th arr., Paris","IRR 7,368,843",8.6,Fabulous,"1,499 reviews",1 single bed,,3.2,Comfort Single Room with Shower,1 night, 1 adult,
Hôtel Tingis,"17th arr., Paris","IRR 3,604,325",6.9,Review score,"2,471 reviews",1 single bed,,4.7,Small Single Room,1 night, 1 adult,
Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
Grand Hôtel Magenta,"10th arr., Paris","IRR 3,964,758",6.9,Review score,"2,867 reviews",1 double bed,,2.7,Double Room,1 night, 1 adult,
citizenM Paris Gare de Lyon,"12th arr., Paris","IRR 11,974,369",8.3,Very good,"10,437 reviews",1 extra-large double bed,,2.1,King Room - Iconic View,1 night, 1 adult,
Courcelles Etoile,"17th arr., Paris","IRR 4,845,815",8.2,Very good,"1,714 reviews",1 double bed,,5,Chambre Deluxe,1 night, 1 adult,
Grand Hôtel De Turin,"9th arr., Paris","IRR 6,167,401",7.8,Good,"1,995 reviews",1 double bed,,2.8,Standard Double Room,1 night, 1 adult,
Hotel de la Paix Tour Eiffel,"7th arr., Paris","IRR 7,969,563",8.3,Very good,"1,078 reviews",1 single bed,,3.5,Single Room,1 night, 1 adult,
Hotel de la Bretonnerie,"4th arr., Paris","IRR 7,027,633",8.1,Very good,762 reviews,Beds: 1 double or 2 singles,,350,Classic Double Room,1 night, 1 adult,
Hotel Marena,"9th arr., Paris","IRR 5,726,872",7.9,Good,"1,552 reviews",2 single beds,,2.6,Twin Room,1 night, 1 adult,
Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
Le Robinet d'Or,"10th arr., Paris","IRR 9,130,957",8.9,Fabulous,"1,169 reviews",1 large double bed,,2.6,Standard Double Room,1 night, 1 adult,
Chatillon Paris Montparnasse,"14th arr., Paris","IRR 5,086,103",8.1,Very good,"1,548 reviews",1 large double bed,,4,Classic Double Room,1 night, 1 adult,
Altona,"10th arr., Paris","IRR 5,566,680",7.6,Good,"4,902 reviews",Multiple bed types,,2.9,Single Room,1 night, 1 adult,
TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
Hostal America,"Centro, Madrid","IRR 3,604,325",7.7,Good,"2,264 reviews",Multiple bed types,,0.6,Single Room,1 night, 1 adult,
Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
Hostels Meetingpoint,"Centro, Madrid","IRR 1,201,442",7,Good,"2,139 reviews",1 bunk bed,,0.8,Bed in 6-Bed Mixed Dormitory Room,1 night, 1 adult,
Hostal Flat55Madrid,"Centro, Madrid","IRR 2,933,921",8.2,Very good,252 reviews,1 double bed,,1.1,Small Double Room with Shared Bathroom,1 night, 1 adult,
"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
Hostal PETITE MAMAN,"Centro, Madrid","IRR 3,880,657",7.7,Good,"2,291 reviews",Multiple bed types,,300,Superior Triple Room,1 night, 1 adult,
Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
Luz Madrid Rooms,"Centro, Madrid","IRR 7,809,371",8.2,Very good,"1,124 reviews",Beds: 1 double or 2 singles,,450,Superior Double or Twin Room,1 night, 1 adult,
AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
"Madrid Airport Suites, Affiliated by Meliá","San Blas, Madrid","IRR 6,007,209",7.3,Good,"4,442 reviews",2 single beds,,13.9,Junior Suite,1 night, 1 adult,
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
Senator Barajas,"Barajas, Madrid","IRR 7,328,795",7.7,Good,"10,739 reviews",Multiple bed types,,11.3,Double Room (1 Adult),1 night, 1 adult,
Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
NH Madrid Ribera del Manzanares,"Arganzuela, Madrid","IRR 7,689,628",8.5,Very good,"4,014 reviews",Multiple bed types,,1.9,Standard Double or Twin Room,1 night, 1 adult,
Cava Baja Suites 1,"Centro, Madrid","IRR 6,571,085",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 1 adult,
Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 7,248,698",8.3,Very good,"3,675 reviews",1 single bed,,1.6,Small Double Room,1 night, 1 adult,
Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 1 adult,
"voco Madrid Retiro, an IHG Hotel","Retiro, Madrid","IRR 10,372,447",8.7,Fabulous,"1,037 reviews",1 large double bed,,3,Standard Queen Room,1 night, 1 adult,
Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
Cava Baja Suites 2,"Centro, Madrid","IRR 7,589,908",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 1 adult,
AP Embajadores X,"Arganzuela, Madrid","IRR 3,872,247",8.4,Very good,51 reviews,2 double beds,45m²,1.4,Deluxe Apartment,1 night, 1 adult,
TaCH Madrid Airport,"Barajas, Madrid","IRR 11,613,937",8.5,Very good,"8,372 reviews",Multiple bed types,,11.8,Double Room with Single Use,1 night, 1 adult,
Habitación Familiar,"Villaverde, Madrid","IRR 600,721",6.5,Review score,409 reviews,1 bunk bed,,7.5,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Ok Hostel Madrid,"Centro, Madrid","IRR 1,786,944",8.9,Fabulous,"11,172 reviews",1 bunk bed,,0.7,Bed in 4-Bed Mixed Dormitory Room,1 night, 1 adult,
Hotel Pinar Plaza,"Ciudad Lineal, Madrid","IRR 9,034,842",8.7,Fabulous,424 reviews,1 large double bed,,7.8,Standard Double Room,1 night, 1 adult,
Gran Via 63 Rooms,"Centro, Madrid","IRR 2,603,124",7.2,Good,"3,660 reviews",1 single bed,,0.9,Small Single Room with Private External Bathroom,1 night, 1 adult,
Madrid Marriott Auditorium Hotel & Conference Center,"San Blas, Madrid","IRR 8,191,830",8.8,Fabulous,"5,569 reviews",1 extra-large double bed,,12.8,Premium King Room,1 night, 1 adult,
Axel Hotel Madrid - Adults Only,"Centro, Madrid","IRR 10,372,847",8.4,Very good,"4,160 reviews",1 double bed,,400,Standard Double Room,1 night, 1 adult,
Axor Barajas,"San Blas, Madrid","IRR 10,512,615",8.6,Fabulous,"5,006 reviews",Beds: 1 double or 2 singles,,10.8,Double or Twin Room with free airport shuttle,1 night, 1 adult,
room00 Gran Vía Hostel,"Centro, Madrid","IRR 1,457,749",8.5,Very good,"13,873 reviews",1 single bed,,0.6,Bed in 4-Bed Female Dormitory Room,1 night, 1 adult,
Senator Barajas,"Barajas, Madrid","IRR 7,328,795",7.7,Good,"10,739 reviews",Multiple bed types,,11.3,Double Room (1 Adult),1 night, 1 adult,
Axor Feria,"San Blas, Madrid","IRR 9,251,101",8.4,Very good,"6,731 reviews",Beds: 1 double or 2 singles,,10.8,Double Room with free airport shuttle,1 night, 1 adult,
UMusic Hotel Madrid,"Centro, Madrid","IRR 14,817,781",8.9,Fabulous,"2,327 reviews",1 single bed,,150,Classic Guest Room,1 night, 1 adult,
NH Madrid Ribera del Manzanares,"Arganzuela, Madrid","IRR 7,689,628",8.5,Very good,"4,014 reviews",Multiple bed types,,1.9,Standard Double or Twin Room,1 night, 1 adult,
Cava Baja Suites 1,"Centro, Madrid","IRR 6,571,085",9.5,Exceptional,58 reviews,"2 beds (1 double, 1 sofa bed)",27m²,0.6,Superior Studio,1 night, 1 adult,
Compostela Suites,"San Blas, Madrid","IRR 4,004,806",7.8,Good,"5,365 reviews",1 double bed,37m²,11,One-Bedroom Apartment (2 Adults),1 night, 1 adult,
room00 Chueca Hostel,"Centro, Madrid","IRR 1,121,346",8.1,Very good,"8,793 reviews",1 single bed,,0.8,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,1 night, 1 adult,
LaNave,"Moncloa-Aravaca, Madrid","IRR 7,970,765",8.1,Very good,"1,954 reviews",4 bunk beds,,1.2,Quadruple Room with Private Bathroom,1 night, 1 adult,
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 7,248,698",8.3,Very good,"3,675 reviews",1 single bed,,1.6,Small Double Room,1 night, 1 adult,
Zleep Madrid Airport,"San Blas, Madrid","IRR 6,367,641",8.3,Very good,"5,411 reviews",1 extra-large double bed,,13.5,Standard Double Room,1 night, 1 adult,
Relais & Châteaux Heritage Hotel,"Salamanca, Madrid","IRR 16,763,316",9.2,Superb,814 reviews,Beds: 1 double or 2 singles,,2.9,Classic Interior Double Room,1 night, 1 adult,
"voco Madrid Retiro, an IHG Hotel","Retiro, Madrid","IRR 10,372,447",8.7,Fabulous,"1,037 reviews",1 large double bed,,3,Standard Queen Room,1 night, 1 adult,
Hotel Mora by MIJ,"Centro, Madrid","IRR 6,467,761",8,Very good,"4,114 reviews",1 double bed,,1.1,Small Double Room,1 night, 1 adult,
Cava Baja Suites 2,"Centro, Madrid","IRR 7,589,908",9.6,Exceptional,78 reviews,"2 beds (1 double, 1 sofa bed)",46m²,0.6,Deluxe Studio,1 night, 1 adult,
Hotel Mirador de Chamartín,"Ciudad Lineal, Madrid","IRR 8,229,876",8.4,Very good,"3,079 reviews",1 double bed,,7.8,Premium Double Room,1 night, 1 adult,
Hotel Amelie Berlin,"Mitte, Berlin","IRR 3,924,710",6.3,Review score,"1,492 reviews",1 single bed,,0.9,Single Room,1 night, 1 adult,
Hotel Bleibtreu Berlin by Golden Tulip,"Charlottenburg-Wilmersdorf, Berlin","IRR 3,029,636",7.8,Good,"1,115 reviews",1 double bed,,4.3,Standard Queen Room,1 night, 1 adult,
Motel One Berlin-Tiergarten,"Tempelhof-Schöneberg, Berlin","IRR 4,162,996",8.2,Very good,"4,799 reviews",1 large double bed,,2.5,Room with King Size bed,1 night, 1 adult,
Motel One Berlin-Alexanderplatz,"Mitte, Berlin","IRR 5,004,005",8.6,Fabulous,"12,885 reviews",1 large double bed,,2.4,Queen Room,1 night, 1 adult,
Grimm's Potsdamer Platz,"Mitte, Berlin","IRR 4,365,238",8.8,Fabulous,"8,375 reviews",1 single bed,,1.5,Single Room,1 night, 1 adult,Free cancellation
Generator Berlin Alexanderplatz,"Mitte, Berlin","IRR 889,067",7.4,Good,"4,965 reviews",1 bunk bed,,2.9,Bed in 8-Bed Dormitory Room,1 night, 1 adult,
"Hotel Berlin, Berlin, a member of Radisson Individuals","Mitte, Berlin","IRR 6,686,023",8,Very good,"15,446 reviews",1 large double bed,,2.1,Cosy Small Room,1 night, 1 adult,Free cancellation
Mercure Hotel Berlin Zentrum Superior,"Tempelhof-Schöneberg, Berlin","IRR 3,964,758",7.5,Good,"1,010 reviews",Beds: 1 double or 2 singles,,2.7,Standard Double or Twin Room,1 night, 1 adult,
Park Inn by Radisson Berlin Alexanderplatz,"Mitte, Berlin","IRR 5,967,161",7.4,Good,"21,183 reviews",Beds: 1 double or 2 singles,,2.6,Double Room,1 night, 1 adult,Free cancellation
Hotel 38,"Mitte, Berlin","IRR 4,289,147",8.4,Very good,"4,509 reviews",1 single bed,,1.4,Single Room,1 night, 1 adult,
